loan_id,customer_id,issue_date,loan_amount,term_months,interest_rate,loan_status
1001,C00001,2021-04-13,9324,36,13.88,Closed
1002,C00002,2022-03-12,15787,24,20.68,Active
1003,C00003,2023-05-11,14111,48,18.36,Active
1004,C00004,2021-09-28,43110,24,10.68,Active
1005,C00005,2021-04-17,21389,12,16.59,Charged_Off
1006,C00006,2021-03-13,46427,12,14.1,Active
1007,C00007,2022-12-02,19043,24,16.08,Active
1008,C00008,2021-01-21,33746,48,18.33,Active
1009,C00009,2022-09-07,27350,48,19.29,Closed
1010,C00010,2021-05-02,46605,48,19.81,Closed
1011,C00011,2022-04-12,5117,12,11.56,Active
1012,C00012,2021-08-03,23935,24,8.44,Active
1013,C00013,2021-11-27,18234,36,18.35,Closed
1014,C00014,2022-04-04,43328,12,9.49,Active
1015,C00015,2021-03-29,5846,48,12.41,Active
1016,C00016,2022-01-08,15954,24,8.05,Closed
1017,C00017,2021-04-10,18703,48,17.54,Closed
1018,C00018,2023-05-22,27700,36,10.34,Active
1019,C00019,2022-10-26,37043,48,17.17,Closed
1020,C00020,2021-05-11,11469,48,21.88,Closed
1021,C00021,2022-10-24,35105,36,9.02,Active
1022,C00022,2021-11-05,47101,24,9.08,Charged_Off
1023,C00023,2023-02-09,31386,12,12.77,Closed
1024,C00024,2021-12-10,41976,24,20.13,Closed
1025,C00025,2022-05-07,44051,36,11.02,Closed
1026,C00026,2022-02-18,7048,48,13.05,Active
1027,C00027,2023-03-17,44001,24,8.96,Active
1028,C00028,2022-01-21,17941,12,18.68,Active
1029,C00029,2021-07-11,47533,36,13.72,Active
1030,C00030,2021-10-04,6828,24,18.63,Active
1031,C00031,2021-06-10,6917,12,20.65,Closed
1032,C00032,2022-04-05,25618,36,11.26,Closed
1033,C00033,2021-11-10,37254,12,19.3,Closed
1034,C00034,2021-01-22,44756,36,8.83,Closed
1035,C00035,2021-09-10,25128,48,20.58,Closed
1036,C00036,2023-01-18,5009,24,17.11,Active
1037,C00037,2023-05-07,21644,12,20.24,Active
1038,C00038,2022-07-15,27422,36,8.0,Active
1039,C00039,2022-04-20,14865,12,10.37,Closed
1040,C00040,2021-02-28,7219,12,13.46,Active
1041,C00041,2022-05-26,44809,24,13.31,Closed
1042,C00042,2022-11-13,10287,48,11.17,Active
1043,C00043,2022-04-21,39387,12,13.34,Closed
1044,C00044,2022-12-01,13512,36,9.8,Closed
1045,C00045,2023-02-22,6342,36,13.78,Closed
1046,C00046,2021-07-09,48336,48,19.23,Charged_Off
1047,C00047,2022-11-18,24216,36,14.71,Closed
1048,C00048,2022-07-17,32534,48,8.25,Charged_Off
1049,C00049,2023-05-26,19231,36,13.9,Charged_Off
1050,C00050,2022-07-21,37293,24,8.38,Closed
1051,C00051,2021-09-01,31614,12,21.53,Closed
1052,C00052,2023-04-12,41258,24,9.78,Active
1053,C00053,2022-05-20,33253,12,17.91,Active
1054,C00054,2021-05-11,47078,12,21.62,Closed
1055,C00055,2022-04-30,45752,12,19.56,Active
1056,C00056,2023-03-30,22988,24,17.79,Active
1057,C00057,2022-10-09,36037,12,19.75,Charged_Off
1058,C00058,2021-01-21,17219,24,21.75,Closed
