payment_id,loan_id,payment_date,payment_amount,days_past_due,remaining_balance
1,1001,2021-05-13,922,0,8402
2,1001,2021-06-12,824,0,7578
3,1001,2021-07-12,1418,0,6160
4,1001,2021-08-11,366,0,5794
5,1002,2022-04-11,1289,0,14498
6,1002,2022-05-11,784,0,13714
7,1002,2022-06-10,1487,0,12227
8,1002,2022-07-10,848,0,11379
9,1002,2022-08-09,372,0,11007
10,1002,2022-09-08,1453,0,9554
11,1002,2022-10-08,871,0,8683
12,1002,2022-11-07,1474,0,7209
13,1002,2022-12-07,478,5,6731
14,1002,2023-01-06,1034,0,5697
15,1002,2023-02-05,1087,0,4610
16,1003,2023-06-10,792,0,13319
17,1003,2023-07-10,1336,0,11983
18,1003,2023-08-09,1031,0,10952
19,1004,2021-10-28,997,0,42113
20,1004,2021-11-27,1185,0,40928
21,1004,2021-12-27,624,0,40304
22,1004,2022-01-26,1255,0,39049
23,1004,2022-02-25,443,0,38606
24,1004,2022-03-27,623,0,37983
25,1004,2022-04-26,1250,0,36733
26,1004,2022-05-26,569,0,36164
27,1005,2021-05-17,766,0,20623
28,1005,2021-06-16,1467,0,19156
29,1005,2021-07-16,531,0,18625
30,1005,2021-08-15,894,5,17731
31,1005,2021-09-14,472,5,17259
32,1005,2021-10-14,1478,0,15781
33,1005,2021-11-13,847,0,14934
34,1005,2021-12-13,1213,15,13721
35,1006,2021-04-12,985,0,45442
36,1006,2021-05-12,1438,0,44004
37,1006,2021-06-11,1198,0,42806
38,1006,2021-07-11,377,0,42429
39,1006,2021-08-10,987,0,41442
40,1006,2021-09-09,1126,0,40316
41,1006,2021-10-09,1435,0,38881
42,1006,2021-11-08,1382,0,37499
43,1006,2021-12-08,968,0,36531
44,1006,2022-01-07,1007,0,35524
45,1006,2022-02-06,686,0,34838
46,1007,2023-01-01,582,30,18461
47,1007,2023-01-31,763,0,17698
48,1007,2023-03-02,471,0,17227
49,1007,2023-04-01,1446,0,15781
50,1007,2023-05-01,989,0,14792
51,1007,2023-05-31,464,0,14328
52,1007,2023-06-30,682,0,13646
53,1007,2023-07-30,523,15,13123
54,1007,2023-08-29,910,0,12213
55,1007,2023-09-28,746,0,11467
56,1008,2021-02-20,1191,0,32555
57,1008,2021-03-22,962,0,31593
58,1008,2021-04-21,1017,0,30576
59,1009,2022-10-07,1350,0,26000
60,1009,2022-11-06,1103,0,24897
61,1009,2022-12-06,686,0,24211
62,1009,2023-01-05,1272,0,22939
63,1009,2023-02-04,1283,30,21656
64,1009,2023-03-06,1052,0,20604
65,1009,2023-04-05,845,0,19759
66,1009,2023-05-05,633,0,19126
67,1010,2021-06-01,1405,0,45200
68,1010,2021-07-01,1064,0,44136
69,1010,2021-07-31,313,60,43823
70,1010,2021-08-30,609,0,43214
71,1011,2022-05-12,1273,5,3844
72,1011,2022-06-11,1417,0,2427
73,1011,2022-07-11,896,0,1531
74,1011,2022-08-10,1345,0,186
75,1011,2022-09-09,186,0,0
76,1012,2021-09-02,1238,0,22697
77,1012,2021-10-02,741,0,21956
78,1012,2021-11-01,1455,0,20501
79,1013,2021-12-27,1161,0,17073
80,1013,2022-01-26,1298,0,15775
81,1013,2022-02-25,1392,15,14383
82,1013,2022-03-27,1118,0,13265
83,1014,2022-05-04,1008,5,42320
84,1014,2022-06-03,564,0,41756
85,1014,2022-07-03,1131,0,40625
86,1014,2022-08-02,973,0,39652
87,1014,2022-09-01,550,0,39102
88,1014,2022-10-01,829,0,38273
89,1014,2022-10-31,1194,0,37079
90,1014,2022-11-30,515,0,36564
91,1014,2022-12-30,424,0,36140
92,1014,2023-01-29,358,0,35782
93,1015,2021-04-28,1428,0,4418
94,1015,2021-05-28,617,0,3801
95,1015,2021-06-27,1173,0,2628
96,1015,2021-07-27,924,0,1704
97,1015,2021-08-26,1341,0,363
98,1015,2021-09-25,363,0,0
99,1016,2022-02-07,488,0,15466
100,1016,2022-03-09,1402,0,14064
101,1016,2022-04-08,798,0,13266
102,1016,2022-05-08,1165,0,12101
103,1016,2022-06-07,370,0,11731
104,1016,2022-07-07,881,0,10850
105,1016,2022-08-06,492,5,10358
106,1016,2022-09-05,351,5,10007
107,1016,2022-10-05,1216,0,8791
108,1017,2021-05-10,990,0,17713
109,1017,2021-06-09,831,0,16882
110,1017,2021-07-09,1139,0,15743
111,1017,2021-08-08,540,0,15203
112,1017,2021-09-07,382,0,14821
113,1017,2021-10-07,1250,0,13571
114,1017,2021-11-06,873,0,12698
115,1017,2021-12-06,758,15,11940
116,1017,2022-01-05,724,0,11216
117,1017,2022-02-04,1481,0,9735
118,1017,2022-03-06,421,0,9314
119,1018,2023-06-21,1284,0,26416
120,1018,2023-07-21,868,0,25548
121,1018,2023-08-20,1437,0,24111
122,1018,2023-09-19,1119,5,22992
123,1018,2023-10-19,1009,0,21983
124,1018,2023-11-18,478,0,21505
125,1018,2023-12-18,1088,5,20417
126,1018,2024-01-17,791,0,19626
127,1018,2024-02-16,1377,0,18249
128,1019,2022-11-25,885,0,36158
129,1019,2022-12-25,834,60,35324
130,1019,2023-01-24,992,0,34332
131,1020,2021-06-10,1113,30,10356
132,1020,2021-07-10,889,0,9467
133,1020,2021-08-09,907,0,8560
134,1020,2021-09-08,1333,0,7227
135,1021,2022-11-23,784,0,34321
136,1021,2022-12-23,1473,0,32848
137,1021,2023-01-22,428,0,32420
138,1022,2021-12-05,1381,0,45720
139,1022,2022-01-04,1201,0,44519
140,1022,2022-02-03,834,0,43685
141,1022,2022-03-05,690,0,42995
142,1022,2022-04-04,326,0,42669
143,1022,2022-05-04,1274,0,41395
144,1022,2022-06-03,866,0,40529
145,1023,2023-03-11,1392,0,29994
146,1023,2023-04-10,1147,60,28847
147,1023,2023-05-10,1477,0,27370
148,1023,2023-06-09,878,0,26492
149,1023,2023-07-09,845,0,25647
150,1023,2023-08-08,980,15,24667
151,1023,2023-09-07,814,0,23853
152,1023,2023-10-07,586,0,23267
153,1023,2023-11-06,916,0,22351
154,1023,2023-12-06,569,0,21782
155,1023,2024-01-05,817,0,20965
156,1024,2022-01-09,1413,0,40563
157,1024,2022-02-08,1216,0,39347
158,1024,2022-03-10,1420,0,37927
159,1024,2022-04-09,355,0,37572
160,1024,2022-05-09,331,0,37241
161,1024,2022-06-08,966,0,36275
162,1024,2022-07-08,486,0,35789
163,1024,2022-08-07,429,0,35360
164,1024,2022-09-06,413,5,34947
165,1025,2022-06-06,743,0,43308
166,1025,2022-07-06,746,0,42562
167,1025,2022-08-05,1014,0,41548
168,1025,2022-09-04,400,0,41148
169,1025,2022-10-04,1440,0,39708
170,1025,2022-11-03,728,0,38980
171,1025,2022-12-03,665,0,38315
172,1025,2023-01-02,956,0,37359
173,1025,2023-02-01,1124,0,36235
174,1025,2023-03-03,1188,0,35047
175,1025,2023-04-02,1283,0,33764
176,1026,2022-03-20,416,0,6632
177,1026,2022-04-19,1417,0,5215
178,1026,2022-05-19,960,0,4255
179,1027,2023-04-16,885,0,43116
180,1027,2023-05-16,573,0,42543
181,1027,2023-06-15,400,0,42143
182,1027,2023-07-15,372,5,41771
183,1027,2023-08-14,456,0,41315
184,1027,2023-09-13,1318,0,39997
185,1027,2023-10-13,858,5,39139
186,1027,2023-11-12,564,0,38575
187,1027,2023-12-12,454,0,38121
188,1027,2024-01-11,1296,5,36825
189,1028,2022-02-20,837,0,17104
190,1028,2022-03-22,453,0,16651
191,1028,2022-04-21,637,0,16014
192,1028,2022-05-21,1454,0,14560
193,1028,2022-06-20,1109,0,13451
194,1028,2022-07-20,887,0,12564
195,1028,2022-08-19,1130,0,11434
196,1028,2022-09-18,1372,0,10062
197,1028,2022-10-18,1167,15,8895
198,1028,2022-11-17,1369,0,7526
199,1028,2022-12-17,1211,0,6315
200,1028,2023-01-16,1121,0,5194
201,1029,2021-08-10,1441,0,46092
202,1029,2021-09-09,741,0,45351
203,1029,2021-10-09,786,0,44565
204,1030,2021-11-03,1394,0,5434
205,1030,2021-12-03,1110,0,4324
206,1030,2022-01-02,498,0,3826
207,1030,2022-02-01,1444,0,2382
208,1030,2022-03-03,1262,30,1120
209,1030,2022-04-02,758,0,362
210,1031,2021-07-10,1463,30,5454
211,1031,2021-08-09,1080,0,4374
212,1031,2021-09-08,1193,0,3181
213,1032,2022-05-05,960,0,24658
214,1032,2022-06-04,1295,0,23363
215,1032,2022-07-04,1045,30,22318
216,1032,2022-08-03,1402,0,20916
217,1032,2022-09-02,603,0,20313
218,1032,2022-10-02,895,5,19418
219,1032,2022-11-01,857,0,18561
220,1032,2022-12-01,377,0,18184
221,1032,2022-12-31,973,15,17211
222,1032,2023-01-30,537,0,16674
223,1032,2023-03-01,577,0,16097
224,1032,2023-03-31,479,0,15618
225,1033,2021-12-10,1374,0,35880
226,1033,2022-01-09,779,5,35101
227,1033,2022-02-08,383,5,34718
228,1033,2022-03-10,918,0,33800
229,1033,2022-04-09,946,0,32854
230,1033,2022-05-09,822,0,32032
231,1033,2022-06-08,677,0,31355
232,1034,2021-02-21,1332,0,43424
233,1034,2021-03-23,392,0,43032
234,1034,2021-04-22,1477,0,41555
235,1034,2021-05-22,1472,0,40083
236,1034,2021-06-21,721,5,39362
237,1034,2021-07-21,771,0,38591
238,1034,2021-08-20,930,30,37661
239,1035,2021-10-10,663,0,24465
240,1035,2021-11-09,845,0,23620
241,1035,2021-12-09,933,0,22687
242,1035,2022-01-08,1262,0,21425
243,1035,2022-02-07,1182,0,20243
244,1035,2022-03-09,1170,0,19073
245,1035,2022-04-08,1165,0,17908
246,1035,2022-05-08,513,5,17395
247,1035,2022-06-07,1149,0,16246
248,1035,2022-07-07,941,0,15305
249,1035,2022-08-06,629,0,14676
250,1035,2022-09-05,691,0,13985
251,1036,2023-02-17,1194,0,3815
252,1036,2023-03-19,1325,0,2490
253,1036,2023-04-18,935,0,1555
254,1036,2023-05-18,768,0,787
255,1036,2023-06-17,787,0,0
256,1037,2023-06-06,759,0,20885
257,1037,2023-07-06,1051,0,19834
258,1037,2023-08-05,1280,0,18554
259,1037,2023-09-04,535,0,18019
260,1037,2023-10-04,978,5,17041
261,1037,2023-11-03,1154,0,15887
262,1037,2023-12-03,1452,0,14435
263,1037,2024-01-02,385,0,14050
264,1037,2024-02-01,677,0,13373
265,1037,2024-03-02,1374,0,11999
266,1037,2024-04-01,1219,0,10780
267,1037,2024-05-01,1443,30,9337
268,1038,2022-08-14,369,0,27053
269,1038,2022-09-13,338,0,26715
270,1038,2022-10-13,1341,0,25374
271,1038,2022-11-12,1124,0,24250
272,1038,2022-12-12,582,0,23668
273,1038,2023-01-11,1316,0,22352
274,1038,2023-02-10,843,60,21509
275,1038,2023-03-12,324,0,21185
276,1038,2023-04-11,1037,0,20148
277,1038,2023-05-11,531,0,19617
278,1039,2022-05-20,588,0,14277
279,1039,2022-06-19,829,0,13448
280,1039,2022-07-19,528,0,12920
281,1039,2022-08-18,734,0,12186
282,1039,2022-09-17,701,0,11485
283,1039,2022-10-17,387,0,11098
284,1039,2022-11-16,608,0,10490
285,1039,2022-12-16,735,60,9755
286,1039,2023-01-15,493,30,9262
287,1040,2021-03-30,1484,0,5735
288,1040,2021-04-29,1365,0,4370
289,1040,2021-05-29,1040,0,3330
290,1040,2021-06-28,1253,0,2077
291,1040,2021-07-28,1132,0,945
292,1040,2021-08-27,845,0,100
293,1041,2022-06-25,356,0,44453
294,1041,2022-07-25,1336,0,43117
295,1041,2022-08-24,389,0,42728
296,1041,2022-09-23,997,0,41731
297,1041,2022-10-23,1197,0,40534
298,1041,2022-11-22,967,0,39567
299,1041,2022-12-22,784,0,38783
300,1041,2023-01-21,938,0,37845
301,1041,2023-02-20,581,5,37264
302,1041,2023-03-22,315,0,36949
303,1042,2022-12-13,843,0,9444
304,1042,2023-01-12,1144,0,8300
