months, amount_recovered 
2021-01-01 00:00:00+01," 2,040.00 "
2021-02-01 00:00:00+01," 37,938.00 "
2021-03-01 00:00:00+01," 84,068.00 "
2021-04-01 00:00:00+01," 111,623.00 "
2021-05-01 00:00:00+01," 156,006.00 "
2021-06-01 00:00:00+01," 178,992.00 "
2021-07-01 00:00:00+01," 209,541.00 "
2021-08-01 00:00:00+01," 229,452.00 "
2021-09-01 00:00:00+01," 241,052.00 "
2021-10-01 00:00:00+01," 252,522.00 "
2021-11-01 00:00:00+01," 231,282.00 "
2021-12-01 00:00:00+01," 238,903.00 "
2022-01-01 00:00:00+01," 239,177.00 "
2022-02-01 00:00:00+01," 224,753.00 "
2022-03-01 00:00:00+01," 251,639.00 "
2022-04-01 00:00:00+01," 243,746.00 "
2022-05-01 00:00:00+01," 259,638.00 "
2022-06-01 00:00:00+01," 268,431.00 "
2022-07-01 00:00:00+01," 256,676.00 "
2022-08-01 00:00:00+01," 260,210.00 "
2022-09-01 00:00:00+01," 229,274.00 "
2022-10-01 00:00:00+01," 251,320.00 "
2022-11-01 00:00:00+01," 259,738.00 "
2022-12-01 00:00:00+01," 277,018.00 "
2023-01-01 00:00:00+01," 269,190.00 "
2023-02-01 00:00:00+01," 242,362.00 "
2023-03-01 00:00:00+01," 267,146.00 "
2023-04-01 00:00:00+01," 277,840.00 "
2023-05-01 00:00:00+01," 282,691.00 "
2023-06-01 00:00:00+01," 280,711.00 "
2023-07-01 00:00:00+01," 291,665.00 "
2023-08-01 00:00:00+01," 239,993.00 "
2023-09-01 00:00:00+01," 177,619.00 "
2023-10-01 00:00:00+01," 145,569.00 "
2023-11-01 00:00:00+01," 107,565.00 "
2023-12-01 00:00:00+01," 89,670.00 "
2024-01-01 00:00:00+01," 54,291.00 "
2024-02-01 00:00:00+01," 36,217.00 "
2024-03-01 00:00:00+01," 23,276.00 "
2024-04-01 00:00:00+01," 12,762.00 "
2024-05-01 00:00:00+01," 7,952.00 "
